concept_56,construct_22
Accountability mechanisms,Accountability mechanisms
Adaptive Governance,Adaptive Governance
Authority,Secretariat authority and influence
Board design,Board design
Business participation,Business participation
Capacity Building,"Learning, innovation and capacity building"
Compliance,Compliance and enforcement
Conflict Resolution,Conflict Resolution
Data-driven governance and indicators,Data-driven governance and indicators
Delegation,Delegation
Effectiveness,Effectiveness
Enforcement,Compliance and enforcement
Environmental Sustainability,Sustainable development and environmental sustainability
Epistemic communities and expert networks,Epistemic communities and expert networks
Equity and intergenerational equity,Equity and intergenerational equity
Ethical Governance,Ethical Governance
Global Cooperation,Global Cooperation
Hard law,Hard law
Inclusiveness,Inclusiveness
Innovation,"Learning, innovation and capacity building"
Institutional change and path dependence,Institutional change and path dependence
Institutional complexity,Institutional complexity
Institutional fit and interplay,Institutional fit and interplay
Institutional proliferation,Institutional proliferation
Inter-agency coordination,Inter-agency coordination
Intermediaries,Intermediaries
Learning,"Learning, innovation and capacity building"
Legalisation,Legalisation
Legitimacy,Legitimacy
Monitoring and Evaluation,MRV and evaluation
"Monitoring, reporting and verification",MRV and evaluation
NGO participation,NGO participation
Network governance,Network governance
Non-state actor participation,Non-state actor participation
Norms,Norms and soft law
Orchestration,Orchestration
Overlapping mandates,Overlapping mandates
Participation and stakeholder engagement,"Participation, engagement and representation"
Partnerships and public–private arrangements,Partnerships and public–private arrangements
Performance measurement,Performance measurement
Policy integration and coherence,Policy integration and coherence
Polycentric governance,Polycentric governance
Power and North–South dynamics,Power and North–South dynamics
Public Trust,Public Trust
Regime complex and fragmentation,Regime complex and fragmentation
Representation,"Participation, engagement and representation"
Resilience,Robustness and resilience
Robustness,Robustness and resilience
Rule of Law,Rule of Law
Soft law,Norms and soft law
Standard-setting,Standard-setting
Sustainable development and SDGs,Sustainable development and environmental sustainability
Transparency,Transparency
Treaty secretariats,Secretariat authority and influence
UN system reform,UN system reform
Voluntary contributions and trust funds,Voluntary contributions and trust funds
