construct_22,category_5,excerpt_freq
Accountability mechanisms,Institutional Framework,661
Compliance and enforcement,Governance Mechanisms,1010
Conflict Resolution,Governance Mechanisms,641
Effectiveness,Governance Mechanisms,909
Equity and intergenerational equity,Stakeholder Engagement,699
Global Cooperation,Inter-Institutional Relations,345
Institutional change and path dependence,Adaptive Capacity,687
Inter-agency coordination,Inter-Institutional Relations,1105
Intermediaries,Inter-Institutional Relations,334
"Learning, innovation and capacity building",Adaptive Capacity,844
Legitimacy,Institutional Framework,505
MRV and evaluation,Governance Mechanisms,929
Norms and soft law,Institutional Framework,692
"Participation, engagement and representation",Stakeholder Engagement,1066
Partnerships and public–private arrangements,Stakeholder Engagement,348
Policy integration and coherence,Governance Mechanisms,626
Regime complex and fragmentation,Inter-Institutional Relations,578
Robustness and resilience,Adaptive Capacity,825
Rule of Law,Institutional Framework,537
Secretariat authority and influence,Institutional Framework,834
Sustainable development and environmental sustainability,Governance Mechanisms,1197
Transparency,Institutional Framework,328
