theme_id,theme_label,theme_origin,definition_note_draft,validated_term_count,validated_terms,pilot_para_hits_keyword,pilot_para_hits_semantic,pilot_doc_coverage,pilot_doc_coverage_semantic
TH001,Fragmentation,seed,"Working definition (reviewer): passages where authors discuss fragmentation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",5,adaptation problems; conﬂicting norms; global governance architectures; institutional incoherence; mainstreaming climate adaptation,28,13,7,5
TH002,Norms,seed,"Working definition (reviewer): passages where authors discuss norms as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",2,global compact participation; ingo networks,103,29,13,6
TH003,Legitimacy,seed,"Working definition (reviewer): passages where authors discuss legitimacy as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,99,23,10,5
TH004,Accountability,seed,"Working definition (reviewer): passages where authors discuss accountability as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,51,19,10,6
TH005,Transparency,seed,"Working definition (reviewer): passages where authors discuss transparency as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,56,11,11,3
TH006,Resilience,seed,"Working definition (reviewer): passages where authors discuss resilience as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",7,adaptation policies; adaptive capacity; governance triangle; ii partnerships; multilateral adaptation; transnational public private; type ii partnerships,6,4,3,3
TH007,Participation,seed,"Working definition (reviewer): passages where authors discuss participation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,178,37,16,6
TH008,Equity,seed,"Working definition (reviewer): passages where authors discuss equity as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,participants comes,30,10,7,3
TH009,Policy Integration,seed,"Working definition (reviewer): passages where authors discuss policy integration as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,24,27,2,5
TH010,Adaptive Governance,seed,"Working definition (reviewer): passages where authors discuss adaptive governance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,0,12,0,3
TH011,Effectiveness,seed,"Working definition (reviewer): passages where authors discuss effectiveness as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,138,28,16,10
TH012,Power Dynamics,seed,"Working definition (reviewer): passages where authors discuss power dynamics as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",3,compliance levels; extract compliance; intergovernmental secretariats,1,16,1,5
TH013,Global Cooperation,seed,"Working definition (reviewer): passages where authors discuss global cooperation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",4,building national capacity; help implement; help inform; quo governance,1,98,1,13
TH014,Rule of Law,seed,"Working definition (reviewer): passages where authors discuss rule of law as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,vertical accountability,9,23,5,6
TH015,Innovation,seed,"Working definition (reviewer): passages where authors discuss innovation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,institutional innovations,65,7,10,4
TH016,Environmental Sustainability,seed,"Working definition (reviewer): passages where authors discuss environmental sustainability as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,,19,37,8,8
TH017,Inclusiveness,seed,"Working definition (reviewer): passages where authors discuss inclusiveness as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",5,capacity builders; compact participation; multilevel network; networks place; public policy issue,8,7,2,1
TH018,Capacity Building,seed,"Working definition (reviewer): passages where authors discuss capacity building as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,institutional strengthening,71,63,7,7
TH019,Collaboration,seed,"Working definition (reviewer): passages where authors discuss collaboration as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",11,adaptation funds; adaptation integration; adaptation mainstreaming; adaptation policy; adaptation projects; implementation national; include adaptation; integrate adaptation; mainstream adaptation; mainstreaming adaptation; survey data,56,12,11,4
