parent_theme_id,parent_theme_label,candidate_term,candidate_score,candidate_source,candidate_term_norm,pilot_docfreq,stem_score,name_noise_flag,artifact_flag,evidence_exists,vetting_status,vetting_note_draft,evidence_filename,evidence_page_in_pdf,evidence_section_guess,evidence_excerpt_snippet
TH034,Power Coordination Capacity,networks manage,7.748600258497253,pilot_logodds_distinctive_ngram,networks manage,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for power coordination capacity; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,111,Unspecified,"rdination and capacity-building skills of states and international organizations. . . Spanning socio-economic, political and cultural gaps, **networks manage** relationships that might otherwise degenerate into ... counterproductive confrontations (Reinicke and Deng, 2000). GPPNs often develop in situations of deadlock where there is inadequate information or consensus to move forward (Streck, 2002). They have been helpf"
TH034,Power Coordination Capacity,networks manage relationships,7.748600258497253,pilot_logodds_distinctive_ngram,networks manage relationships,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for power coordination capacity; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,111,Unspecified,"rdination and capacity-building skills of states and international organizations. . . Spanning socio-economic, political and cultural gaps, **networks manage relationships** that might otherwise degenerate into ... counterproductive confrontations (Reinicke and Deng, 2000). GPPNs often develop in situations of deadlock where there is inadequate information or consensus to move forward (Streck, 2002). They have been helpf"
TH034,Power Coordination Capacity,typical network,7.748600258497253,pilot_logodds_distinctive_ngram,typical network,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for power coordination capacity; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,111,Unspecified,"ams). Those dealing with environmental and health issues are more prevalent than any other kind of public–private network (Streck, 2002): A **typical network** (if there is such a thing) combines the voluntary ... energy and legitimacy of the civil society sector with the financial muscle and interest of business and the enforcement and rule-making power and coordination and capacity-building skills of states and interna"
TH040,Coordination Capacity,rule making power,7.51671501739464,pilot_logodds_distinctive_ngram,rule making power,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for coordination capacity; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,111,Unspecified,"the voluntary energy and legitimacy of the civil society sector with the financial muscle and interest of business and the enforcement and **rule-making power** and coordination and capacity-building skills of ... states and international organizations. . . Spanning socio-economic, political and cultural gaps, networks manage relationships that might otherwise degenerate into counterproductive confrontations (Reinicke a"
TH046,Multistakeholder,accountability frameworks,7.379562789850968,pilot_logodds_distinctive_ngram,accountability frameworks,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for multistakeholder; retained after checking for contextual equivalence and excluding systematic noise.,Accountability in International Governance and the 2030 Development Agenda.pdf,1,Unspecified,"stem, United Nations and other international organizations, and active participation by civil society and the private sector with their own **accountability frameworks** in place. Policy Implications • The acco ... untability framework for the 2030 Development Agenda should have at its base strong national follow-up processes with active participation of parliaments and civil society. • The regional context should include"
TH027,Intergovernmental Treaty Secretariats,public nonstate,7.28922433486289,pilot_logodds_distinctive_ngram,public nonstate,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for intergovernmental treaty secretariats; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,6,Unspecified,Intergovernmental Treaty Secretariats as **Public Nonstate** Actors Intergovernmental treaty secretariats are one speciªc type of international organization. Steinar Andresen and Jon Birger Skjaerseth have usefully deªned such secretariats as “international organization[s] established by the relevant parties to assist them in fulªlling the goals of the treaty” and emphasized that they “can be conceived of as actors w
TH067,New Institutionalism Organizational,institutionalist approach,7.0234730569217,pilot_logodds_distinctive_ngram,institutionalist approach,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for new institutionalism organizational; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,5,Results,"tutional characteristics that is traditionally conªned to norms, rules and procedures.10 Moreover, the emergence of a distinct sociological **institutionalist approach** greatly beneªted from the cognitivist br ... anch of regime analysis, which enriched the discipline by considering knowledge and ideas as drivers of international cooperation. As a result, cognitive variables now compete with the long-standing explanatory"
TH073,Society Participation Engagement,government bureaucracy,6.949269427395115,pilot_logodds_distinctive_ngram,government bureaucracy,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for society participation engagement; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,108,Unspecified,"complex societies, nations are evolving from ‘governing by hierarchy’ to ‘governing by network’ (Goldsmith and Eggers, 2004). Hierarchical **government bureaucracy**, the predominant organizational model of th ... e 20th century, favoured highly uniform and routine processes to deliver public value. The complex character of 21st-century problems, however, is poorly suited to this rigid structure. New models of governance"
TH054,Institutionalization Private Governance,climate regime,6.925348463784607,pilot_logodds_distinctive_ngram,climate regime,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for institutionalization private governance; retained after checking for contextual equivalence and excluding systematic noise.,Engaging the Public and the Private in Global Sustainability Governance.pdf,8,Unspecified,"e recommends a bottom-up approach relying primarily on freestanding national initiatives.51 Falkner, Stephan & Vogler call for assembling a **climate regime** from distinct institutional “building blocks,” with ... only modest coordination.52 Moving beyond purely public arrangements, Orts argues for multiple “climate contracts,” from treaties and national regulations to PPPs and private schemes.53 Cole calls for multiple"
TH027,Intergovernmental Treaty Secretariats,public nonstate actors,6.921015586186082,pilot_logodds_distinctive_ngram,public nonstate actors,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for intergovernmental treaty secretariats; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,6,Unspecified,Intergovernmental Treaty Secretariats as **Public Nonstate Actors** Intergovernmental treaty secretariats are one speciªc type of international organization. Steinar Andresen and Jon Birger Skjaerseth have usefully deªned such secretariats as “international organization[s] established by the relevant parties to assist them in fulªlling the goals of the treaty” and emphasized that they “can be conceived of as actors w
TH036,Treaty Secretariats Stage,respective regime,6.9175060386446665,pilot_logodds_distinctive_ngram,respective regime,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for treaty secretariats stage; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,6,Unspecified,"imilarly, Konrad von Moltke and Oran Young have argued that secretariat effectiveness is a necessary condition for the effectiveness of the **respective regime**.15 But beyond this, the International Relations ... literature does not really tell us a great deal theoretically about the roles secretariats play in world politics. This is all the more striking as these secretariats have not only grown in number, but also in"
