construct_22,category_5
Robustness and resilience,Adaptive Capacity
Institutional change and path dependence,Adaptive Capacity
"Learning, innovation and capacity building",Adaptive Capacity
Effectiveness,Governance Mechanisms
Sustainable development and environmental sustainability,Governance Mechanisms
Policy integration and coherence,Governance Mechanisms
Compliance and enforcement,Governance Mechanisms
MRV and evaluation,Governance Mechanisms
Conflict Resolution,Governance Mechanisms
Legitimacy,Institutional Framework
Accountability mechanisms,Institutional Framework
Secretariat authority and influence,Institutional Framework
Norms and soft law,Institutional Framework
Rule of Law,Institutional Framework
Transparency,Institutional Framework
Intermediaries,Inter-Institutional Relations
Regime complex and fragmentation,Inter-Institutional Relations
Inter-agency coordination,Inter-Institutional Relations
Global Cooperation,Inter-Institutional Relations
"Participation, engagement and representation",Stakeholder Engagement
Equity and intergenerational equity,Stakeholder Engagement
Partnerships and public–private arrangements,Stakeholder Engagement
