theme_id,theme_raw,step0_class,concept_56,doc_freq,excerpt_freq,step2_keep,construct_22,category_5,example_excerpt_id,example_doc_id,example_page_in_pdf,example_snippet,attributes_9,decision_memo
THEME-001,Fragmentation,Governance_construct,Regime complex and fragmentation,45,578,True,Regime complex and fragmentation,Inter-Institutional Relations,554d4cf63dac,74debaea,1.0,"Abstract In the process of globalization, several international actors have emerged besides states. The intergovernmental cooperation resulting from treaties or agreements in the forms of Intergovernmental Organizations …",SJ; SMJ; IIR; HC,Step1 normalisation: treated as lexical/terminological variant of 'Regime complex and fragmentation'.
THEME-002,Norms,Governance_construct,Norms,43,504,True,Norms and soft law,Institutional Framework,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",SoJ,Step3 consolidation: mapped 'Norms' into 'Norms and soft law' based on co-occurrence and definitional overlap.
THEME-003,Legitimacy,Governance_construct,Legitimacy,39,505,True,Legitimacy,Institutional Framework,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",SoJ,
THEME-004,Accountability,Governance_construct,Accountability mechanisms,44,661,True,Accountability mechanisms,Institutional Framework,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",STR,Step1 normalisation: treated as lexical/terminological variant of 'Accountability mechanisms'.
THEME-005,Transparency,Governance_construct,Transparency,39,328,True,Transparency,Institutional Framework,5ad1fbfe21a2,FULL-02,3.0,"By 1992, when Stockholm's successor – the UN Conference on Environment and Development (UNCED) – was convened, the bipolar world had just come to an end. Optimism and a thirst for action were palpable at the 'Earth Summi…",STR,
THEME-006,Resilience,Governance_construct,Resilience,43,683,True,Robustness and resilience,Adaptive Capacity,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",STR,Step3 consolidation: mapped 'Resilience' into 'Robustness and resilience' based on co-occurrence and definitional overlap.
THEME-007,Participation,Governance_construct,Participation and stakeholder engagement,45,926,True,"Participation, engagement and representation",Stakeholder Engagement,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",VC,"Step1 normalisation: treated as lexical/terminological variant of 'Participation and stakeholder engagement'. Step3 consolidation: mapped 'Participation and stakeholder engagement' into 'Participation, engagement and representation' based on co-occurrence and definitional overlap."
THEME-008,Equity,Governance_construct,Equity and intergenerational equity,45,699,True,Equity and intergenerational equity,Stakeholder Engagement,7f7d8598e554,74debaea,3.0,"Source: UIA Website (http://www.uia.org/, retrieved at 2/25/2015) II. ROLES AND ACTIVITIESOF IGOs IGOs serve several roles in the international system. They can contribute to cooperative endeavors among states, and by do…",VC,Step1 normalisation: treated as lexical/terminological variant of 'Equity and intergenerational equity'.
THEME-009,Policy Integration,Governance_construct,Policy integration and coherence,39,626,True,Policy integration and coherence,Governance Mechanisms,b1559229504d,74debaea,5.0,The World Bank experienced a similar process as regards issues related to its development. The World Bank has updated itself in the face of new conditions that globalization has helped to bring about. By the end of the 2…,STR; IIR; HC,Step1 normalisation: treated as lexical/terminological variant of 'Policy integration and coherence'.
THEME-010,Adaptive Governance,Governance_construct,Adaptive Governance,27,103,False,,,9d17627aa8ba,FULL-02,5.0,"The crucial question to ask is whether the CSD has lived up to the hopes of its creators and whether its continued existence can be justified. Despite some patently useful work on freshwater or forests, influential ideas…",,Step2 salience: excluded at doc_freq<38.
