theme_id,theme_label,theme_origin,pilot_para_hits,pilot_doc_coverage,definition_note_draft,pilot_para_hits_keyword,pilot_para_hits_semantic,pilot_doc_coverage_semantic
TH001,Fragmentation,seed,28,7,"Working definition (reviewer): passages where authors discuss fragmentation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",28,13,5
TH002,Norms,seed,103,13,"Working definition (reviewer): passages where authors discuss norms as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",103,29,6
TH003,Legitimacy,seed,99,10,"Working definition (reviewer): passages where authors discuss legitimacy as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",99,23,5
TH004,Accountability,seed,51,10,"Working definition (reviewer): passages where authors discuss accountability as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",51,19,6
TH005,Transparency,seed,56,11,"Working definition (reviewer): passages where authors discuss transparency as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",56,11,3
TH006,Resilience,seed,6,3,"Working definition (reviewer): passages where authors discuss resilience as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",6,4,3
TH007,Participation,seed,178,16,"Working definition (reviewer): passages where authors discuss participation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",178,37,6
TH008,Equity,seed,30,7,"Working definition (reviewer): passages where authors discuss equity as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",30,10,3
TH009,Policy Integration,seed,24,2,"Working definition (reviewer): passages where authors discuss policy integration as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",24,27,5
TH010,Adaptive Governance,seed,0,0,"Working definition (reviewer): passages where authors discuss adaptive governance as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",0,12,3
TH011,Effectiveness,seed,138,16,"Working definition (reviewer): passages where authors discuss effectiveness as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",138,28,10
TH012,Power Dynamics,seed,1,1,"Working definition (reviewer): passages where authors discuss power dynamics as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,16,5
TH013,Global Cooperation,seed,1,1,"Working definition (reviewer): passages where authors discuss global cooperation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",1,98,13
TH014,Rule of Law,seed,9,5,"Working definition (reviewer): passages where authors discuss rule of law as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",9,23,6
TH015,Innovation,seed,65,10,"Working definition (reviewer): passages where authors discuss innovation as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",65,7,4
TH016,Environmental Sustainability,seed,19,8,"Working definition (reviewer): passages where authors discuss environmental sustainability as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",19,37,8
TH017,Inclusiveness,seed,8,2,"Working definition (reviewer): passages where authors discuss inclusiveness as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",8,7,1
TH018,Capacity Building,seed,71,7,"Working definition (reviewer): passages where authors discuss capacity building as a governance-relevant construct, mechanism, or diagnostic that informs institutional design, authority, coordination, or performance.",71,63,7
